X;Y;OBJECTID;RELI;B14BTOT;Count_;IPTA
527700;165300;164284;52771653;19;1;0
538900;165400;229830;53891654;3;1;0
560000;177800;164289;56001778;3;0;0
514300;168800;164290;51431688;6;1;0
572500;125900;435;57251259;3;0;0
549200;147800;295375;54921478;49;2;0
532900;161600;229833;53291616;15;2;0
531100;153500;262606;53111535;5;2;0
548300;161200;262609;54831612;15;1;0
573100;122900;442;57311229;3;1;0
573500;137900;229842;57351379;3;1;0
534000;181800;229847;53401818;11;1;0
524800;154400;229848;52481544;3;0;0
544400;195500;328163;54441955;3;0;0
528300;159500;328164;52831595;7;0;0
538300;151700;164310;53831517;110;3;0
529900;152100;328167;52991521;3;1;0
574400;145000;458;57441450;5;0;0
541600;151500;229856;54161515;4;1;0
539300;156200;262629;53931562;3;0;0
568900;197400;197087;56891974;6;0;0
574800;145200;462;57481452;6;0;0
546300;174000;295406;54631740;19;1;0
538100;158000;295409;53811580;3;0;0
550600;150700;164325;55061507;3;0;0
555800;145200;197097;55581452;66;2;0
510600;164100;197098;51061641;5;3;1
554800;148200;229869;55481482;3;1;0
529900;171600;328183;52991716;7;0;0
515200;145700;328188;51521457;73;1;0
521500;164100;262649;52151641;3;0;0
558600;150000;262652;55861500;3;0;0
574500;141500;262654;57451415;3;0;0
576300;134000;489;57631340;5;2;0
568800;197300;295429;56881973;6;0;0
576300;134100;491;57631341;3;2;1
562300;131200;328202;56231312;5;0;0
525600;153100;328203;52561531;21;2;0
516100;146500;229890;51611465;48;2;0
505300;144000;328204;50531440;4;1;0
554200;173200;295433;55421732;78;3;0
536100;159700;295434;53611597;65;3;0
577000;147100;499;57701471;18;1;0
555800;155400;262669;55581554;5;0;0
577200;147100;503;57721471;25;1;0
549000;167300;164360;54901673;14;0;0
570300;132800;262676;57031328;5;1;0
539100;180100;229905;53911801;27;2;0
506300;145500;164367;50631455;48;1;0
533400;170800;197139;53341708;5;0;0
530400;178000;295462;53041780;6;0;0
578300;133000;229921;57831330;46;1;0
544000;170900;229922;54401709;12;0;0
569500;127600;197151;56951276;21;0;0
579100;133400;528;57911334;6;0;0
572300;133300;197156;57231333;3;0;0
527600;151000;295473;52761510;12;3;0
554800;170100;262704;55481701;3;1;0
538700;177800;229933;53871778;16;1;0
536300;165200;197165;53631652;45;1;0
501000;137500;295483;50101375;12;1;0
519500;174000;229943;51951740;13;0;0
505000;145900;328256;50501459;12;0;0
555600;154900;197179;55561549;4;1;0
560900;145400;164408;56091454;3;0;0
580500;134400;554;58051344;3;0;0
558400;143400;164409;55841434;93;2;0
524500;149300;262723;52451493;3;0;0
581300;148800;556;58131488;3;0;0
507400;141900;328267;50741419;15;0;0
519000;173800;262727;51901738;72;1;0
543900;163800;229956;54391638;23;1;0
537200;183000;229958;53721830;27;2;0
581400;148600;563;58141486;4;0;0
568700;123300;295504;56871233;9;2;0
540400;162900;229963;54041629;20;0;0
581700;148300;567;58171483;10;0;0
538900;166400;164425;53891664;28;1;0
533500;173300;262738;53351733;12;1;0
553800;148400;197197;55381484;8;0;0
572900;195600;295510;57291956;3;0;0
525300;151400;229969;52531514;18;0;0
521600;147400;328289;52161474;4;1;0
510300;144100;164439;51031441;25;1;0
571300;125000;197212;57131250;12;1;0
562900;184000;328297;56291840;5;0;0
536900;151700;262756;53691517;79;0;0
505000;145700;197215;50501457;6;0;0
526200;151500;328300;52621515;16;1;0
538400;151500;262758;53841515;168;2;0
538500;153500;164446;53851535;4;1;0
509500;151800;262759;50951518;20;0;0
520700;166400;164448;52071664;5;0;0
571200;191400;295533;57121914;3;0;0
506900;143500;229991;50691435;3;0;0
535700;157900;197221;53571579;5;1;0
534400;155200;164451;53441552;3;1;0
556400;144600;262765;55641446;7;1;0
541700;151000;328309;54171510;24;1;0
554000;147400;295539;55401474;3;3;1
542800;178500;262769;54281785;3;1;0
560000;142400;197227;56001424;3;11;4
532400;155300;164457;53241553;3;5;2
523400;151700;197230;52341517;4;0;0
533000;188500;262773;53301885;3;0;0
566800;120700;197232;56681207;3;0;0
507300;137900;262775;50731379;257;1;0
542600;150200;197233;54261502;49;2;0
536700;180600;262776;53671806;11;1;0
513100;151600;328322;51311516;31;1;0
573100;133600;295553;57311336;3;1;0
