"","OBJECTID","RELI","x_coor","y_coor","B14BTOT","Count_","IPTA"
"456",298,55831794,558300,179400,4,0,0
"457",98611,57581341,575800,134100,3,1,0.33333
"458",196924,50711390,507100,139000,3,1,0.33333
"459",98612,57611471,576100,147100,19,1,0.05263
"460",164154,53531632,535300,163200,16,0,0
"461",328011,55731490,557300,149000,5,0,0
"462",328015,53331604,533300,160400,18,0,0
"463",305,56031419,560300,141900,34,28,0.82353
"464",164161,55561808,555600,180800,8,1,0.125
"465",229703,52821864,528200,186400,72,2,0.02778
"466",295245,51051401,510500,140100,5,0,0
"467",164162,54601557,546000,155700,18,0,0
"468",229704,56591261,565900,126100,24,1,0.04167
"469",98620,57661338,576600,133800,4,3,0.75
"470",295248,52081505,520800,150500,124,1,0.00806
"471",196936,53681528,536800,152800,4,3,0.75
"472",295249,52921521,529200,152100,78,1,0.01282
"473",164166,54541542,545400,154200,15,0,0
"474",196939,57571467,575700,146700,21,0,0
"475",314,56071384,560700,138400,4,3,0.75
"476",229712,54621688,546200,168800,30,1,0.03333
"477",196941,53861810,538600,181000,132,1,0.00758
"478",315,56121461,561200,146100,3,0,0
"479",320,56121908,561200,190800,6,0,0
"480",196949,50481459,504800,145900,6,0,0
"481",229720,50931512,509300,151200,3,0,0
"482",325,56171856,561700,185600,19,1,0.05263
"483",326,56161854,561600,185400,231,1,0.00433
"484",295265,53271536,532700,153600,22,1,0.04545
"485",328037,50211340,502100,134000,3,0,0
"486",328,56161775,561600,177500,3,0,0
"487",262496,57431291,574300,129100,3,0,0
"488",196954,57101249,571000,124900,12,2,0.16667
"489",196956,51171678,511700,167800,3,0,0
"490",330,56141860,561400,186000,7,0,0
"491",332,56151449,561500,144900,3,1,0.33333
"492",295274,56811273,568100,127300,9,0,0
"493",196961,57141253,571400,125300,3,2,0.66667
"494",196964,53921544,539200,154400,9,1,0.11111
"495",262508,55641449,556400,144900,31,1,0.03226
"496",229739,54341814,543400,181400,11,1,0.09091
"497",342,56241424,562400,142400,3,2,0.66667
"498",196969,53831574,538300,157400,15,1,0.06667
"499",164199,53211845,532100,184500,24,1,0.04167
"500",345,56251857,562500,185700,23,0,0
"501",328055,53511527,535100,152700,11,1,0.09091
"502",196972,55461467,554600,146700,106,5,0.04717
"503",347,56341297,563400,129700,126,5,0.03968
"504",229745,54871608,548700,160800,79,1,0.01266
"505",348,56341335,563400,133500,4,1,0.25
"506",349,56291292,562900,129200,55,2,0.03636
"507",262518,51231442,512300,144200,8,0,0
"508",196976,56101468,561000,146800,5,0,0
"509",328061,55961428,559600,142800,42,20,0.47619
"510",196979,52231562,522300,156200,6,3,0.5
"511",295293,53831817,538300,181700,191,1,0.00524
"512",262523,57371334,573700,133400,3,1,0.33333
"513",196982,53841812,538400,181200,221,3,0.01357
"514",356,56431924,564300,192400,3,1,0.33333
"515",164213,55441586,554400,158600,12,1,0.08333
"516",98671,58191486,581900,148600,5,1,0.2
"517",229758,53661807,536600,180700,8,1,0.125
"518",262531,52411555,524100,155500,28,1,0.03571
"519",229760,54071808,540700,180800,27,0,0
"520",164219,55361459,553600,145900,6,4,0.66667
"521",364,56621281,566200,128100,5,1,0.2
"522",262533,56101464,561000,146400,3,1,0.33333
"523",164223,50581604,505800,160400,3,1,0.33333
"524",262537,50511409,505100,140900,8,1,0.125
"525",164225,54961580,549600,158000,3,2,0.66667
"526",370,56631317,566300,131700,4,3,0.75
"527",328082,56221919,562200,191900,11,0,0
"528",295311,55851350,558500,135000,3,1,0.33333
"529",229770,55601459,556000,145900,8,1,0.125
"530",196999,53751550,537500,155000,370,0,0
"531",197001,53841555,538400,155500,24,0,0
"532",295314,50641436,506400,143600,12,1,0.08333
"533",295315,53781525,537800,152500,18,16,0.88889
"534",262544,52921679,529200,167900,120,2,0.01667
"535",164232,57091268,570900,126800,3,2,0.66667
"536",380,56721215,567200,121500,25,0,0
"537",381,56731963,567300,196300,9,0,0
"538",229779,51731504,517300,150400,12,0,0
"539",382,56711220,567100,122000,78,1,0.01282
"540",295323,52461859,524600,185900,3,0,0
"541",229783,51141518,511400,151800,4,1,0.25
"542",229787,50161330,501600,133000,8,1,0.125
"543",295329,53021622,530200,162200,65,1,0.01538
"544",197017,55581448,555800,144800,67,3,0.04478
