"","X","Y","Numero","Nom","MoyenTrans","Altitude","NumeroComm","NomCommune","y_Coord_Es","x_Coord_No","WGSlong","WGSlat"
"1202",537624,150966,8501184,"Ouchy","Metro",377,5586,"Lausanne",537624,150966,6.62596167471051,46.5070932198648
"1203",568478,122856,8530246,"Foyer Dents-du-Midi","CheminFer",453,5402,"Bex",568478,122856,7.02984436993598,46.2563930565567
"1204",510574,163988,8579141,"Les Bioux, ?cole","Bus",1023,5871,"L'Abbaye",510574,163988,6.27105664433312,46.6211549542897
"1205",538119,155160,8593249,"Le Mont-sur-Lausanne, Rionzi","Bus",633,5587,"Le Mont-sur-Lausanne",538119,155160,6.63184864600839,46.5448647036022
"1206",522214,172252,8570229,"Vaulion, Nidau","Bus",883,5765,"Vaulion",522214,172252,6.42161624643886,46.6969441384174
"1207",566770,122497,8530523,"La Ruaz","CheminFer",420,5402,"Bex",566770,122497,7.00772018680231,46.2530815011407
"1208",530629,178100,8570245,"Valeyres-sous-Rances, crois?e","Bus",501,5763,"Valeyres-sous-Rances",530629,178100,6.53074400543279,46.7504740323521
"1209",543200,171530,8570306,"Rueyres VD, Le Dejors","Bus",607,5534,"Rueyres",543200,171530,6.69606973631128,46.6925659329371
"1210",539887,152731,8588432,"Lausanne, Chailly-Village","Bus",447,5586,"Lausanne",539887,152731,6.65521394888724,46.5231766318899
"1211",579510,147385,8501388,"Les Combes","CheminFer",990,5841,"Ch?teau-d'Oex",579510,147385,7.17183002770215,46.4774716098164
"1212",554704,148140,8579181,"Jongny, Combette","Bus",662,5885,"Jongny",554704,148140,6.84875780363241,46.4830454192539
"1213",528224,180752,8504296,"Six-Fontaines","CheminFer",705,5745,"Baulmes",528224,180752,6.49885585439088,46.7740736484428
"1214",504550,138350,8501969,"Signy, Le Glassey","Bus",470,5728,"Signy-Avenex",504550,138350,6.19771135030858,46.3897214174973
"1215",570489,124092,8501490,"Fontannaz-Seulaz","CheminFer",809,5402,"Bex",570489,124092,7.05584540293562,46.2676026848158
"1216",513042,144212,8581660,"Gilly-Bursinel, gare sud","Bus",428,5852,"Bursinel",513042,144212,6.3069987897048,46.4436023574868
"1217",513484,151373,8579219,"Gimel, Caf? de la Gare","Bus",710,5428,"Gimel",513484,151373,6.31141137217494,46.5080704830622
"1218",552111,155976,8582200,"Les Tavernes, coll?ge","Bus",645,5805,"Oron",552111,155976,6.81417918382307,46.5533524232676
"1219",526510,172166,8570148,"Croy-Romainm?tier, gare","Bus",642,5761,"Romainm?tier-Envy",526510,172166,6.47779271934819,46.696657520768
"1220",538146,182513,8570250,"Yverdon-les-Bains, Le Bey","Bus",435,5938,"Yverdon-les-Bains",538146,182513,6.62851915680022,46.7909085848003
"1221",541285,155512,8591965,"Epalinges, centre","Bus",788,5584,"Epalinges",541285,155512,6.67307865587478,46.5483162688885
"1222",538381,182282,8530263,"Yverdon William Barbey","CheminFer",435,5938,"Yverdon-les-Bains",538381,182282,6.63162790949544,46.7888525316888
"1223",533123,160639,8570068,"Sullens, Auberge","Bus",590,5501,"Sullens",533123,160639,6.56592288803267,46.5936678444593
"1224",545245,154538,8592228,"Savigny, ancienne poste","Bus",822,5611,"Savigny",545245,154538,6.72482385331993,46.5398906657922
"1225",539500,165607,8580485,"Echallens, coll?ge/parc","Bus",646,5518,"Echallens",539500,165607,6.64848110843691,46.6389629729696
"1226",539274,180402,8594046,"Yverdon-les-Bains, cimeti?re","Bus",434,5938,"Yverdon-les-Bains",539274,180402,6.64357196710303,46.7720239973035
"1227",540728,152702,8592177,"Pully, Daillettes","Bus",588,5590,"Pully",540728,152702,6.66617728917225,46.5229907576086
"1228",538112,188694,8507968,"Villars-Burquin, pl. fontaine","Bus",739,5571,"T?venon",538112,188694,6.62723686000504,46.8465029167509
"1229",554938,146909,8593994,"Vevey, Gilamont","Bus",416,5890,"Vevey",554938,146909,6.85192486195866,46.4719879058042
"1230",538917,174159,8583030,"Essertines-s.-Yv., Gde Salle","Bus",602,5520,"Essertines-sur-Yverdon",538917,174159,6.63973032478246,46.7158356155866
"1231",526445,151356,8501090,"Pr?lionne","CheminFer",415,5642,"Morges",526445,151356,6.48026579550573,46.5094666889366
"1232",547314,182924,8570385,"Yvonand, dessus-du-village","Bus",440,5939,"Yvonand",547314,182924,6.7485408213385,46.7953937055044
"1233",540934,180817,8594020,"Yverdon, Grands Champs","Bus",502,5938,"Yverdon-les-Bains",540934,180817,6.66525082342036,46.7759061177057
"1234",529172,152807,8592253,"Lonay, Levant","Bus",389,5638,"Lonay",529172,152807,6.51557098932633,46.5228123989281
"1235",509401,149895,8501853,"Longirod, village","Bus",888,5429,"Longirod",509401,149895,6.25851108430923,46.494236510683
"1236",561406,129860,8581050,"Aigle, La M?l?e","Bus",385,5401,"Aigle",561406,129860,6.93755364497451,46.3190284585404
"1237",576646,141597,8501700,"Bains-de-l'Etivaz","Bus",1208,5841,"Ch?teau-d'Oex",576646,141597,7.13482901645734,46.4253116567603
"1238",563250,131000,8570602,"Yvorne, anc. poste","Bus",441,5415,"Yvorne",563250,131000,6.96140452889373,46.3293866337022
"1239",569799,191747,8583517,"Avenches, Joli-Val","Bus",450,5451,"Avenches",569799,191747,7.04246562074151,46.8761576505731
"1240",578600,133273,8571280,"Les Diablerets, Les Rochers","Bus",1199,5411,"Ormont-Dessus",578600,133273,7.16063159511709,46.3504977684623
"1241",569532,192053,8583518,"Avenches, Montmezard","Bus",480,5451,"Avenches",569532,192053,7.03894277684676,46.8788980025964
"1242",522615,147858,8589256,"Etoy, En Pallatex","Bus",412,5636,"Etoy",522615,147858,6.43095416738327,46.4775709874604
"1243",541419,155536,8504174,"Epalinges, coll?ge","Bus",785,5584,"Epalinges",541419,155536,6.67482266460416,46.548543897039
"1244",537541,152306,8592134,"Lausanne, Villard","Bus",462,5586,"Lausanne",537541,152306,6.6246993022611,46.519138947229
"1245",528825,157750,8570093,"Aclens, coll?ge","Bus",450,5621,"Aclens",528825,157750,6.51028705538449,46.5672377120055
"1246",511825,145199,8570059,"Bursins, village","Bus",469,5853,"Bursins",511825,145199,6.29097564241567,46.4523211262021
"1247",519550,150350,8570049,"Aubonne, Sermaret","Bus",464,5435,"Saint-Livres",519550,150350,6.39061404953076,46.4996250458414
"1248",547918,165904,8570345,"Hermenches, village","Bus",674,5673,"Hermenches",547918,165904,6.75838422013355,46.6423438634443
"1249",569226,127454,8579129,"Chesi?res, La Palette","Bus",1132,5409,"Ollon",569226,127454,7.03924121872965,46.2977889010711
"1250",538300,153000,8504176,"Lausanne, Tunnel","Bus",512,5586,"Lausanne",538300,153000,6.6344968774343,46.5254519434077
"1251",529363,167872,8583359,"La Sarraz, coll?ge Gu?bettes","Bus",478,5498,"La Sarraz",529363,167872,6.51575099149648,46.6583415269991
"1252",524692,148306,8589258,"St-Prex, Motty","Bus",393,5646,"Saint-Prex",524692,148306,6.45792440921793,46.4818373731769
"1253",543175,167749,8570220,"Naz, laiterie","Bus",671,5540,"Montilliez",543175,167749,6.69621056245339,46.6585532644875
"1254",532936,153704,8591960,"Ecublens VD, Veilloud","Bus",398,5635,"Ecublens (VD)",532936,153704,6.5644909032346,46.5312685903586
"1255",581981,130628,8501354,"Glacier-des-Diablerets","Telepherique",2944,5411,"Ormont-Dessus",581981,130628,7.20465602625388,46.3268036869405
"1256",507167,138614,8593873,"Nyon, Bel Automne","Bus",425,5724,"Nyon",507167,138614,6.23167610226121,46.3924630985533
"1257",539217,154621,8592054,"Lausanne, Grand Vennes","Bus",650,5586,"Lausanne",539217,154621,6.6462340536067,46.5401169543698
"1258",540203,153643,8592025,"Lausanne, Craivavers","Bus",644,5586,"Lausanne",540203,153643,6.659213901398,46.5314085150216
"1259",566775,132335,8595105,"Leysin, Vermont (gare)","Bus",1329,5407,"Leysin",566775,132335,7.00708359798284,46.3415791498631
"1260",556300,148500,8579170,"Fenil-sur-Corsier, vieille rte","Bus",573,5884,"Corsier-sur-Vevey",556300,148500,6.86950739586807,46.4863897544702
"1261",539123,151908,8591981,"Lausanne, avenue du L?man","Bus",484,5586,"Lausanne",539123,151908,6.64536621159361,46.5157045923196
"1262",558908,143324,8593943,"Montreux, Vernex","Bus",382,5886,"Montreux",558908,143324,6.9039310260965,46.4399945603987
"1263",559563,142247,8593924,"Montreux, casino","Bus",383,5886,"Montreux",559563,142247,6.91254783813308,46.4303463149663
"1264",553850,158094,8577681,"Oron-le-Ch?tel, gare","Bus",699,5805,"Oron",553850,158094,6.83664244909939,46.5725267192676
