"","X","Y","OBJECTID","RELI","B14BTOT","Count_","IPTA","WGSlong","WGSlat"
"27782",531300,189200,259516,53131892,3,0,0,6.53785743480764,46.8503859208077
"27783",520200,146100,193975,52021461,3,0,0,6.39981350459638,46.4614748085202
"27784",526000,156700,95662,52601567,22,1,0,6.47361209197857,46.5574865071143
"27785",548100,172300,325060,54811723,4,1,0,6.76003886042314,46.6998912488787
"27786",524300,172700,95663,52431727,3,1,0,6.44881304637815,46.701213698366
"27787",525000,148800,95664,52501488,5,2,0,6.46185490362555,46.4863154111052
"27788",542300,161100,325062,54231611,47,0,0,6.68561283546783,46.5986695628416
"27789",524500,167000,95665,52451670,25,1,0,6.45236463222847,46.6499659450563
"27790",556500,145100,226750,55651451,11,2,0,6.87243147628816,46.4558184718571
"27791",525700,150100,95666,52571501,8,0,0,6.47076178122108,46.4980868173751
"27792",524100,149200,95667,52411492,14,0,0,6.45006913915038,46.4898120070499
"27793",525100,152600,95668,52511526,5,0,0,6.46254156885384,46.5205072650774
"27794",508000,137700,325065,50801377,11,10,1,6.24268567226553,46.384356779444
"27795",524700,149600,95669,52471496,3,0,0,6.45781796424025,46.4934776844354
"27796",522000,162200,292296,52201622,9,0,0,6.42052375162636,46.6065036449279
"27797",527300,152100,95670,52731521,33,0,0,6.49128773726685,46.5162523020617
"27798",526300,153800,95671,52631538,7,0,0,6.47798692065137,46.5314343527748
"27799",526300,151600,95672,52631516,24,1,0,6.47833783180408,46.5116455094079
"27800",526600,150500,95673,52661505,3,4,1,6.48242103696585,46.5017840287283
"27801",526700,150300,95674,52671503,5,1,0,6.4837553569899,46.499995992426
"27802",570100,127300,193988,57011273,11,1,0,7.05059399289495,46.2964430332462
"27803",527200,151400,95675,52721514,32,1,0,6.49009502629726,46.5099449729933
"27804",541000,155200,325073,54101552,32,0,0,6.66940278329773,46.5454847108659
"27805",528300,168700,95676,52831687,18,1,0,6.50173484474981,46.6656760100667
"27806",528400,152700,95677,52841527,22,3,0,6.50552743031602,46.5217678172936
"27807",528900,168100,95678,52891681,13,0,0,6.509667106983,46.6603432300743
"27808",529700,163000,95679,52971630,3,0,0,6.52089798138388,46.6145537788018
"27809",559300,145800,226764,55931458,14,1,0,6.90881423194218,46.462291114513
"27810",529400,185600,95680,52941856,3,0,0,6.51350376615969,46.8178059922957
"27811",530400,151600,95682,53041516,25,0,0,6.53175523346595,46.5120842221716
"27812",530400,169000,95683,53041690,11,0,0,6.52912756475892,46.6685966873056
"27813",530300,162400,95684,53031624,38,1,0,6.52882085192372,46.6092196460972
"27814",531500,154300,95685,53151543,9,1,0,6.5456865670035,46.5364842079835
"27815",531600,155900,95686,53161559,255,1,0,6.54675298533392,46.5508864581092
"27816",531800,172700,95687,53181727,11,0,0,6.5468712564361,46.7020224094408
"27817",567800,118800,292313,56781188,4,0,0,7.02133153733631,46.2198753981464
