X,Y,field_1,OBJECTID,RELI,B14BTOT,Count_,IPTA
6.527546,46.60741,543,295329,53021622,65,1,0
6.863349,46.453074,544,197017,55581448,67,3,0
6.255853,46.496053,545,328101,50921501,9,0,0
6.35459,46.704855,546,164247,51711732,3,0,0
7.031947,46.881095,547,393,56901923,10,0,0
6.211797,46.370532,548,229791,50561362,19,0,0
6.25723,46.612124,549,328105,50951630,6,1,0
6.22624,46.480447,550,229792,50691484,3,0,0
6.489922,46.519839,551,229793,52721525,7,0,0
6.463141,46.487226,552,164253,52511489,3,1,0
6.779266,46.624439,553,295337,54951639,14,0,0
7.051962,46.469166,554,402,57031465,10,1,0
7.048903,46.351311,555,404,57001334,3,0,0
6.680972,46.557257,556,328114,54191565,56,1,0
6.227823,46.467868,557,197030,50701470,9,0,0
6.812989,46.531072,558,164260,55201535,7,0,0
7.041124,46.882027,559,405,56971924,3,2,1
7.043813,46.873041,560,406,56991914,6,0,0
7.048173,46.272146,561,407,56991246,3,2,1
