x;y;object_id;reli;b14btot;count
6.633735;46.576724;220196;53831587;3;1
6.884228;46.44778;318509;55741442;10;1
6.990874;46.298921;187429;56551276;38;1
6.437384;46.54188;187431;52321550;49;3
6.190717;46.382897;285745;50401376;6;0
6.847619;46.702178;252977;55481725;9;0
6.814064;46.550869;285751;55211557;10;0
6.725629;46.632212;187439;54541648;15;2
6.92157;46.762808;252985;56051792;3;1
6.601541;46.549504;318530;53581557;4;1
6.692099;46.506953;252988;54271509;44;2
6.562675;46.533917;252989;53281540;4;2
6.444695;46.498761;318535;52371502;6;0
6.243609;46.40146;285771;50811396;33;0
6.624004;46.529875;220231;53751535;122;1
6.825381;46.70296;220234;55311726;5;0
6.2508;46.429425;318548;50871427;42;1
6.662398;46.852198;220235;54081893;3;0
6.526757;46.654184;253007;53021674;17;0
6.539861;46.573323;154695;53111584;3;0
6.575966;46.763419;285780;53411795;5;1
6.646436;46.511142;154696;53921514;69;0
7.019787;46.252254;318553;56771224;3;7
6.86199;46.458465;253017;55571454;91;3
7.054294;46.874876;187477;57071916;16;0
6.529642;46.638014;220248;53041656;3;0
6.63934;46.638836;187479;53881656;10;5
7.022394;46.250465;253026;56791222;20;2
7.015218;46.339496;318573;56741321;32;0
7.130057;46.473003;154720;57631469;21;1
6.670592;46.553589;154721;54111561;19;2
6.747419;46.562178;285807;54701570;5;0
6.574104;46.552897;253037;53371561;61;0
6.564112;46.767827;154727;53321800;13;1
6.826623;46.478071;318585;55301476;23;0
6.594517;46.581838;220275;53531593;69;1
6.500455;46.513629;187505;52801518;4;4
6.527091;46.634395;253053;53021652;8;0
6.842888;46.538429;318596;55431543;23;0
6.469347;46.504372;187513;52561508;3;1
6.574234;46.544801;318600;53371552;63;1
6.689116;46.628379;187520;54261644;3;0
6.632036;46.778222;220291;53841811;94;3
6.552153;46.619299;187523;53211635;26;0
6.229962;46.60554;318608;50741623;7;3
7.028782;46.952147;220297;56882002;6;0
6.80309;46.486038;253069;55121485;3;0
7.135245;46.476615;318612;57671473;6;4
6.574018;46.558294;318616;53371567;18;1
6.500276;46.824895;285848;52841864;63;1
6.659597;46.773916;154764;54051806;24;1
6.860612;46.465654;318620;55561462;27;3
6.631847;46.790815;187539;53841825;14;1
6.59348;46.564737;187540;53521574;11;0
6.644273;46.658662;220312;53921678;6;1
6.181423;46.335112;220313;50321323;6;0
6.637954;46.644224;154775;53871662;31;4
6.553414;46.622008;253096;53221638;65;1
7.101893;46.39556;318640;57411383;10;1
6.813888;46.566161;220327;55211574;24;1
6.63302;46.537136;318644;53821543;238;2
6.542052;46.598529;220333;53131612;3;0
6.578016;46.552926;220336;53401561;137;2
6.70444;46.846179;187565;54401886;4;0
6.342506;46.462735;318655;51581463;29;2
6.713729;46.545776;318657;54441552;3;0
6.752111;46.603588;220348;54741616;3;0
6.631955;46.783619;253119;53841817;166;1
6.737499;46.522535;318664;54621526;4;1
6.522264;46.610966;285893;52981626;32;0
6.263678;46.615789;220352;51001634;5;1
6.612507;46.514499;318667;53661518;39;1
6.664664;46.512167;187585;54061515;29;3
6.622849;46.519971;187586;53741524;21;10
7.026332;46.244182;253129;56821215;4;0
6.468928;46.527759;187588;52561534;45;2
6.60244;46.660162;318674;53601680;3;0
6.175641;46.304458;253132;50271289;3;1
6.784272;46.534509;318675;54981539;3;0
6.541776;46.536453;220362;53121543;12;1
6.727563;46.882308;187592;54581926;24;1
6.654345;46.5049;154822;53981507;3;1
6.163593;46.375398;154823;50191368;33;1
6.367131;46.468368;154827;51771469;21;0
6.990585;46.334004;253142;56551315;3;0
6.543139;46.532866;220372;53131539;26;2
6.579662;46.531348;285915;53411537;52;0
6.603399;46.682659;187602;53611705;33;1
6.480315;46.841822;220374;52691883;3;1
6.607425;46.590929;253146;53631603;17;1
7.023798;46.917048;318689;56841963;7;1
6.451232;46.56899;187605;52431580;3;0
7.063708;46.276697;318690;57111251;3;2
6.907504;46.463185;187607;55921459;17;1
6.247825;46.38711;154836;50841380;4;1
6.340539;46.559878;253152;51581571;3;1
6.664741;46.50677;318694;54061509;3;2
6.748142;46.505508;318697;54701507;5;0
6.620783;46.829419;187617;53761868;3;1
6.855614;46.567282;253160;55531575;7;1
6.623012;46.509177;318704;53741512;75;0
6.150384;46.384245;318705;50091378;32;0
6.750222;46.546902;253163;54721553;3;0
6.864741;46.690571;253164;55611712;18;1
6.706284;46.517841;154852;54381521;3;0
6.94275;46.452549;187624;56191447;5;2
6.230246;46.475991;187625;50721479;21;0
6.118829;46.452259;122085;49861454;13;0
6.650498;46.769355;220399;53981801;147;1
7.0113;46.34218;318714;56711324;18;9
6.641361;46.767493;285947;53911799;220;1
6.668291;46.531983;154869;54091537;3;1
6.161755;46.342989;122098;50171332;22;2
6.438664;46.472619;253183;52321473;6;0
6.736645;46.688955;285955;54631711;3;1
6.161797;46.34119;122100;50171330;37;0
6.161816;46.450951;122101;50191452;12;1
6.164163;46.351113;122102;50191341;47;1
6.44922;46.607656;187646;52421623;4;1
6.228308;46.387803;220417;50691381;181;2
6.175662;46.303559;122107;50271288;11;0
6.607281;46.51536;285964;53621519;3;2
6.177135;46.407938;122109;50301404;81;2
6.181715;46.322519;122111;50321309;10;0
6.184498;46.314453;122112;50341300;7;1
6.876122;46.476527;220426;55681474;7;0
6.185589;46.323462;122116;50351310;6;0
6.194472;46.389236;122119;50431383;11;0
6.724775;46.499067;187664;54521500;3;1
6.201607;46.361424;122123;50481352;3;0
6.959568;46.316785;154895;56311296;25;2
