X,Y,X_1,Y_1,NUMERO,NOM,MOYEN_TRAN,ALTITUDE,NUMERO_COM,NOM_COMMUN,buff100_SU,buff250_SU,buff500_SU,buff1000_S
6.214287,46.585796,6.2142870000,46.5857960000,8501159,Le Brassus,CheminFer,1022,5872,Le Chenit,29,199,456,998
6.475005,46.496836,6.4750050000,46.4968360000,8501046,Tolochenaz,CheminFer,392,5649,Tolochenaz,157,769,984,1699
6.916247,46.779956,6.9162470000,46.7799560000,8504142,Trey,CheminFer,459,5827,Trey,3,3,14,123
6.778536,46.481058,6.7785360000,46.4810580000,8504013,Chexbres-Village,CheminFer,560,5601,Chexbres,136,964,1737,2748
6.980552,46.316359,6.9805520000,46.3163590000,8501468,Aigle-Dépét ASD,CheminFer,440,5401,Aigle,28,72,185,1300
6.630387,46.52052,6.6303870000,46.5205200000,8519590,Lausanne-Flon (LEB),CheminFer,480,5586,Lausanne,135,1384,7363,36148
6.52368,46.606012,6.5236800000,46.6060120000,8501115,Cossonay-Penthalaz,CheminFer,428,5495,Penthalaz,,401,1719,3355
6.446514,46.526783,6.4465140000,46.5267830000,8501092,Bussy-Chardonney,Bus_CheminFer,506,5625,Bussy-Chardonney,,,223,388
7.00836,46.344445,7.0083600000,46.3444450000,8501482,Leysin-Feydey,CheminFer,1398,5407,Leysin,51,1047,2223,3687
6.212466,46.358762,6.2124660000,46.3587620000,8501017,Crans,CheminFer,394,5713,Crans-près-Céligny,51,241,783,1942
6.455897,46.482315,6.4558970000,46.4823150000,8501036,St-Prex,CheminFer,395,5646,Saint-Prex,251,538,2282,4137
6.427325,46.519957,6.4273250000,46.5199570000,8501093,Yens,CheminFer,527,5655,Yens,8,148,215,1304
7.131414,46.474671,7.1314140000,46.4746710000,8501394,Château-d'Oex,CheminFer,968,5841,Château-d'Oex,45,345,1046,1983
6.83543,46.468276,6.8354300000,46.4682760000,8504015,Vevey-Funi,CheminFer,388,5890,Vevey,93,749,4299,13665
6.64194,46.806278,6.6419400000,46.8062780000,8504201,Grandson,CheminFer,436,5561,Grandson,73,502,1069,1745
6.53399,46.524985,6.5339900000,46.5249850000,8501143,Lausanne-Triage Sud,CheminFer,392,5632,Denges,,17,495,3412
6.960291,46.835256,6.9602910000,46.8352560000,8504123,Corcelles-Nord,CheminFer,448,5816,Corcelles-près-Payerne,79,294,861,1671
6.54763,46.532433,6.5476300000,46.5324330000,8515341,Lausanne-Triage D,CheminFer,397,5633,Echandens,,30,425,3800
6.906123,46.442038,6.9061230000,46.4420380000,8501390,Belmont-sur-Montreux,CheminFer,465,5886,Montreux,71,283,2540,9092
6.634442,46.514197,6.6344420000,46.5141970000,8515338,Lausanne Est,CheminFer,446,5586,Lausanne,392,2409,9490,27961
6.523577,46.524164,6.5235770000,46.5241640000,8518430,Lausanne-Triage Ouest,CheminFer,392,5586,Lausanne,,72,993,5159
6.317089,46.664306,6.3170890000,46.6643060000,8501151,Les Charbonnières,CheminFer,1025,5873,Le Lieu,57,100,245,634
6.390232,46.54966,6.3902320000,46.5496600000,8501085,Ballens-Froideville,CheminFer,681,5423,Ballens,5,17,31,73
6.484461,46.506551,6.4844610000,46.5065510000,8501054,La Gottaz,CheminFer,398,5642,Morges,52,318,1731,8229
6.229027,46.391157,6.2290270000,46.3911570000,8501059,Les Plantaz,CheminFer,420,5724,Nyon,264,1356,4880,12560
6.975101,46.436403,6.9751010000,46.4364030000,8501368,La Perche,CheminFerCremaillere,1799,5886,Montreux,,,,
6.22231,46.460567,6.2223100000,46.4605670000,8501064,Bassins,CheminFer,756,5702,Arzier-Le Muids,,,27,1315
